collection_index,collection_folder,genotype_folder,raw_genotype,raw_individual,mapped_genotype,mapped_individual,picked_file,dst_path,status
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\018E2,18,2,18,2,E:\maize_tuinstra_download\Processed\07_17-18\018E2\018E2_ear_6.jpg,..\data\corn\images\1_18_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\019E1,19,1,19,1,E:\maize_tuinstra_download\Processed\07_17-18\019E1\019E1_ear_6.jpg,..\data\corn\images\1_19_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\019E2,19,2,19,2,E:\maize_tuinstra_download\Processed\07_17-18\019E2\019E2_ear_6.jpg,..\data\corn\images\1_19_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\020E1,20,1,20,1,E:\maize_tuinstra_download\Processed\07_17-18\020E1\020E1_ear_6.jpg,..\data\corn\images\1_20_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\020E2,20,2,20,2,E:\maize_tuinstra_download\Processed\07_17-18\020E2\020E2_ear_6.jpg,..\data\corn\images\1_20_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\021E1,21,1,21,1,E:\maize_tuinstra_download\Processed\07_17-18\021E1\021E1_ear_6.jpg,..\data\corn\images\1_21_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\021E2,21,2,21,2,E:\maize_tuinstra_download\Processed\07_17-18\021E2\021E2_ear_6.jpg,..\data\corn\images\1_21_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\022E1,22,1,22,1,E:\maize_tuinstra_download\Processed\07_17-18\022E1\022E1_ear_6.jpg,..\data\corn\images\1_22_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\022E2,22,2,22,2,E:\maize_tuinstra_download\Processed\07_17-18\022E2\022E2_ear_6.jpg,..\data\corn\images\1_22_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\023E1,23,1,23,1,E:\maize_tuinstra_download\Processed\07_17-18\023E1\023E1_ear_6.jpg,..\data\corn\images\1_23_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\023E2,23,2,23,2,E:\maize_tuinstra_download\Processed\07_17-18\023E2\023E2_ear_6.jpg,..\data\corn\images\1_23_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\024E1,24,1,24,1,E:\maize_tuinstra_download\Processed\07_17-18\024E1\024E1_ear_6.jpg,..\data\corn\images\1_24_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\024E2,24,2,24,2,E:\maize_tuinstra_download\Processed\07_17-18\024E2\024E2_ear_6.jpg,..\data\corn\images\1_24_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\025E1,25,1,25,1,E:\maize_tuinstra_download\Processed\07_17-18\025E1\025E1_ear_6.jpg,..\data\corn\images\1_25_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\025E2,25,2,25,2,E:\maize_tuinstra_download\Processed\07_17-18\025E2\025E2_ear_6.jpg,..\data\corn\images\1_25_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\026E1,26,1,26,1,E:\maize_tuinstra_download\Processed\07_17-18\026E1\026E1_ear_6.jpg,..\data\corn\images\1_26_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\026E2,26,2,26,2,E:\maize_tuinstra_download\Processed\07_17-18\026E2\026E2_ear_6.jpg,..\data\corn\images\1_26_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\027E1,27,1,27,1,E:\maize_tuinstra_download\Processed\07_17-18\027E1\027E1_ear_6.jpg,..\data\corn\images\1_27_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\027E2,27,2,27,2,E:\maize_tuinstra_download\Processed\07_17-18\027E2\027E2_ear_6.jpg,..\data\corn\images\1_27_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\028E1,28,1,28,1,E:\maize_tuinstra_download\Processed\07_17-18\028E1\028E1_ear_6.jpg,..\data\corn\images\1_28_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\028E2,28,2,28,2,E:\maize_tuinstra_download\Processed\07_17-18\028E2\028E2_ear_6.jpg,..\data\corn\images\1_28_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\029E1,29,1,29,1,E:\maize_tuinstra_download\Processed\07_17-18\029E1\029E1_ear_6.jpg,..\data\corn\images\1_29_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\029E2,29,2,29,2,E:\maize_tuinstra_download\Processed\07_17-18\029E2\029E2_ear_6.jpg,..\data\corn\images\1_29_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\030E1,30,1,30,1,E:\maize_tuinstra_download\Processed\07_17-18\030E1\030E1_ear_6.jpg,..\data\corn\images\1_30_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\030E2,30,2,30,2,E:\maize_tuinstra_download\Processed\07_17-18\030E2\030E2_ear_6.jpg,..\data\corn\images\1_30_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\031E1,31,1,31,1,E:\maize_tuinstra_download\Processed\07_17-18\031E1\031E1_ear_6.jpg,..\data\corn\images\1_31_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\031E2,31,2,31,2,E:\maize_tuinstra_download\Processed\07_17-18\031E2\031E2_ear_6.jpg,..\data\corn\images\1_31_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\032E1,32,1,32,1,E:\maize_tuinstra_download\Processed\07_17-18\032E1\032E1_ear_6.jpg,..\data\corn\images\1_32_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\032E2,32,2,32,2,E:\maize_tuinstra_download\Processed\07_17-18\032E2\032E2_ear_6.jpg,..\data\corn\images\1_32_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\033E1,33,1,33,1,E:\maize_tuinstra_download\Processed\07_17-18\033E1\033E1_ear_6.jpg,..\data\corn\images\1_33_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\033E2,33,2,33,2,E:\maize_tuinstra_download\Processed\07_17-18\033E2\033E2_ear_6.jpg,..\data\corn\images\1_33_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\034E1,34,1,34,1,E:\maize_tuinstra_download\Processed\07_17-18\034E1\034E1_ear_6.jpg,..\data\corn\images\1_34_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\034E2,34,2,34,2,E:\maize_tuinstra_download\Processed\07_17-18\034E2\034E2_ear_6.jpg,..\data\corn\images\1_34_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\035E1,35,1,35,1,E:\maize_tuinstra_download\Processed\07_17-18\035E1\035E1_ear_6.jpg,..\data\corn\images\1_35_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\035E2,35,2,35,2,E:\maize_tuinstra_download\Processed\07_17-18\035E2\035E2_ear_6.jpg,..\data\corn\images\1_35_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\036E1,36,1,36,1,E:\maize_tuinstra_download\Processed\07_17-18\036E1\036E1_ear_6.jpg,..\data\corn\images\1_36_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\036E2,36,2,36,2,E:\maize_tuinstra_download\Processed\07_17-18\036E2\036E2_ear_6.jpg,..\data\corn\images\1_36_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\037E1,37,1,37,1,E:\maize_tuinstra_download\Processed\07_17-18\037E1\037E1_ear_6.jpg,..\data\corn\images\1_37_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\037E2,37,2,37,2,E:\maize_tuinstra_download\Processed\07_17-18\037E2\037E2_ear_6.jpg,..\data\corn\images\1_37_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\038E1,38,1,38,1,E:\maize_tuinstra_download\Processed\07_17-18\038E1\038E1_ear_6.jpg,..\data\corn\images\1_38_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\038E2,38,2,38,2,E:\maize_tuinstra_download\Processed\07_17-18\038E2\038E2_ear_6.jpg,..\data\corn\images\1_38_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\039E1,39,1,39,1,E:\maize_tuinstra_download\Processed\07_17-18\039E1\039E1_ear_6.jpg,..\data\corn\images\1_39_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\039E2,39,2,39,2,E:\maize_tuinstra_download\Processed\07_17-18\039E2\039E2_ear_6.jpg,..\data\corn\images\1_39_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\040E1,40,1,40,1,E:\maize_tuinstra_download\Processed\07_17-18\040E1\040E1_ear_6.jpg,..\data\corn\images\1_40_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\040E2,40,2,40,2,E:\maize_tuinstra_download\Processed\07_17-18\040E2\040E2_ear_6.jpg,..\data\corn\images\1_40_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\041E1,41,1,41,1,E:\maize_tuinstra_download\Processed\07_17-18\041E1\041E1_ear_6.jpg,..\data\corn\images\1_41_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\041E2,41,2,41,2,E:\maize_tuinstra_download\Processed\07_17-18\041E2\041E2_ear_6.jpg,..\data\corn\images\1_41_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\042E1,42,1,42,1,E:\maize_tuinstra_download\Processed\07_17-18\042E1\042E1_ear_6.jpg,..\data\corn\images\1_42_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\042E2,42,2,42,2,E:\maize_tuinstra_download\Processed\07_17-18\042E2\042E2_ear_6.jpg,..\data\corn\images\1_42_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\043E1,43,1,43,1,E:\maize_tuinstra_download\Processed\07_17-18\043E1\043E1_ear_6.jpg,..\data\corn\images\1_43_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\043E2,43,2,43,2,E:\maize_tuinstra_download\Processed\07_17-18\043E2\043E2_ear_6.jpg,..\data\corn\images\1_43_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\044E1,44,1,44,1,E:\maize_tuinstra_download\Processed\07_17-18\044E1\044E1_ear_6.jpg,..\data\corn\images\1_44_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\044E2,44,2,44,2,E:\maize_tuinstra_download\Processed\07_17-18\044E2\044E2_ear_6.jpg,..\data\corn\images\1_44_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\045E1,45,1,45,1,E:\maize_tuinstra_download\Processed\07_17-18\045E1\045E1_ear_6.jpg,..\data\corn\images\1_45_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\045E2,45,2,45,2,E:\maize_tuinstra_download\Processed\07_17-18\045E2\045E2_ear_6.jpg,..\data\corn\images\1_45_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\046E1,46,1,46,1,E:\maize_tuinstra_download\Processed\07_17-18\046E1\046E1_ear_6.jpg,..\data\corn\images\1_46_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\046E2,46,2,46,2,E:\maize_tuinstra_download\Processed\07_17-18\046E2\046E2_ear_6.jpg,..\data\corn\images\1_46_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\047E1,47,1,47,1,E:\maize_tuinstra_download\Processed\07_17-18\047E1\047E1_ear_6.jpg,..\data\corn\images\1_47_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\047E2,47,2,47,2,E:\maize_tuinstra_download\Processed\07_17-18\047E2\047E2_ear_6.jpg,..\data\corn\images\1_47_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\048E1,48,1,48,1,E:\maize_tuinstra_download\Processed\07_17-18\048E1\048E1_ear_6.jpg,..\data\corn\images\1_48_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\048E2,48,2,48,2,E:\maize_tuinstra_download\Processed\07_17-18\048E2\048E2_ear_6.jpg,..\data\corn\images\1_48_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\049E1,49,1,49,1,E:\maize_tuinstra_download\Processed\07_17-18\049E1\049E1_ear_6.jpg,..\data\corn\images\1_49_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\049E2,49,2,49,2,E:\maize_tuinstra_download\Processed\07_17-18\049E2\049E2_ear_6.jpg,..\data\corn\images\1_49_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\050E1,50,1,50,1,E:\maize_tuinstra_download\Processed\07_17-18\050E1\050E1_ear_6.jpg,..\data\corn\images\1_50_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\050E2,50,2,50,2,E:\maize_tuinstra_download\Processed\07_17-18\050E2\050E2_ear_6.jpg,..\data\corn\images\1_50_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\051E1,51,1,51,1,E:\maize_tuinstra_download\Processed\07_17-18\051E1\051E1_ear_6.jpg,..\data\corn\images\1_51_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\051E2,51,2,51,2,E:\maize_tuinstra_download\Processed\07_17-18\051E2\051E2_ear_6.jpg,..\data\corn\images\1_51_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\052E1,52,1,52,1,E:\maize_tuinstra_download\Processed\07_17-18\052E1\052E1_ear_6.jpg,..\data\corn\images\1_52_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\052E2,52,2,52,2,E:\maize_tuinstra_download\Processed\07_17-18\052E2\052E2_ear_6.jpg,..\data\corn\images\1_52_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\053E1,53,1,53,1,E:\maize_tuinstra_download\Processed\07_17-18\053E1\053E1_ear_6.jpg,..\data\corn\images\1_53_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\053E2,53,2,53,2,E:\maize_tuinstra_download\Processed\07_17-18\053E2\053E2_ear_6.jpg,..\data\corn\images\1_53_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\054E1,54,1,54,1,E:\maize_tuinstra_download\Processed\07_17-18\054E1\054E1_ear_6.jpg,..\data\corn\images\1_54_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\054E2,54,2,54,2,E:\maize_tuinstra_download\Processed\07_17-18\054E2\054E2_ear_6.jpg,..\data\corn\images\1_54_2.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\055E1,55,1,55,1,E:\maize_tuinstra_download\Processed\07_17-18\055E1\055E1_ear_6.jpg,..\data\corn\images\1_55_1.jpg,copied
1,E:\maize_tuinstra_download\Processed\07_17-18,E:\maize_tuinstra_download\Processed\07_17-18\055E2,55,2,55,2,E:\maize_tuinstra_download\Processed\07_17-18\055E2\055E2_ear_6.jpg,..\data\corn\images\1_55_2.jpg,copied
