"crop","collectiondate","genotype","augmented.","modelname","IoU","Dice","Precision","Recall","F1","MAE","Hausdorff","PixelAccuracy"
"sorghum",1,11,"yes","SegFormer",0.8967374,0.9455578,0.924373304124866,0.967736050663261,0.945557790736167,0.016311646,14.8660687473185,0.983688354492188
"sorghum",1,11,"yes","SegFormer",0.9024937,0.9487482,0.943068287156247,0.954496885668864,0.948748170502675,0.015094757,16.1554944214035,0.984905242919922
"sorghum",1,11,"no","SegFormer",0.7961888,0.8865313,0.996973807784619,0.798117620850969,0.886531293979369,0.027988434,24.3515913237718,0.972011566162109
"sorghum",1,11,"yes","SegFormer",0.876898,0.934412,0.990334549309388,0.884467587435955,0.934412002647643,0.017009735,12.0415945787923,0.982990264892578
"sorghum",1,11,"yes","SegFormer",0.87808734,0.9350868,0.994880653266332,0.882072844731566,0.935086787105916,0.016777039,10.295630140987,0.983222961425781
"sorghum",1,11,"yes","SegFormer",0.7618165,0.864808,0.955407362500421,0.789903096458008,0.864808011828727,0.03383255,131.726990400601,0.966167449951172
"sorghum",1,11,"yes","SegFormer",0.8117101,0.89607066,0.99689578713969,0.813766985965694,0.896070645591549,0.025859833,26.9258240356725,0.974140167236328
"sorghum",1,11,"yes","SegFormer",0.8184663,0.9001721,0.993378373836174,0.82295611494765,0.900172090827407,0.02500534,25,0.974994659423828
"sorghum",1,12,"no","SegFormer",0.95251983,0.9756826,0.959531275788084,0.992386999863444,0.97568261533556,0.0055274963,5,0.994472503662109
"sorghum",1,12,"no","SegFormer",0.9271388,0.962192,0.938384147898473,0.987239415430905,0.962192024716571,0.011016846,11.1803398874989,0.988983154296875
"sorghum",1,12,"yes","SegFormer",0.9243813,0.9607049,0.931826789546774,0.991430260047281,0.960704942144242,0.011516571,12.0415945787923,0.988483428955078
"sorghum",1,12,"yes","SegFormer",0.9200844,0.95837915,0.923822818256599,0.995621104663658,0.958379126207316,0.0122795105,10.0498756211209,0.987720489501953
"sorghum",1,12,"yes","SegFormer",0.9342866,0.9660271,0.943181818181818,0.990006447453256,0.966027052532243,0.009887695,10.770329614269,0.9901123046875
"sorghum",1,12,"yes","SegFormer",0.92642546,0.9618077,0.942750257997936,0.981651622609069,0.961807748999789,0.011070251,16.1245154965971,0.988929748535156
"sorghum",1,12,"yes","SegFormer",0.9252703,0.9611848,0.935288735258235,0.988555770470664,0.961184829171455,0.01133728,11.1803398874989,0.988662719726562
"sorghum",1,12,"yes","SegFormer",0.9478761,0.9732406,0.95111936650699,0.996415403523146,0.973240634221978,0.006122589,4,0.993877410888672
"sorghum",1,12,"yes","SegFormer",0.95181155,0.9753109,0.959259136980422,0.99190905366653,0.975310921266847,0.0056114197,5.8309518948453,0.994388580322266
"sorghum",1,12,"yes","SegFormer",0.9550532,0.97700995,0.962134251290878,0.992352860849379,0.977009948910998,0.005218506,4,0.994781494140625
"sorghum",1,12,"yes","SegFormer",0.94904107,0.97385436,0.953574349746442,0.99501570394647,0.973854352874351,0.005970001,5.65685424949238,0.994029998779297
"sorghum",1,12,"yes","SegFormer",0.9514162,0.9751033,0.959912681087517,0.990782466202376,0.975103316197964,0.0056533813,5,0.994346618652344
"sorghum",1,12,"no","SegFormer",0.96155375,0.9804001,0.975365820915559,0.985486605629027,0.980400094457376,0.004432678,5,0.995567321777344
"sorghum",1,12,"yes","SegFormer",0.9547083,0.9768294,0.986748780403418,0.967107494065785,0.976829414484613,0.0051612854,8.06225774829855,0.994838714599609
"sorghum",1,12,"yes","SegFormer",0.95103896,0.97490513,0.978283880219893,0.971549677856901,0.974905149973629,0.0056266785,7.61577310586391,0.994373321533203
"sorghum",1,12,"yes","SegFormer",0.9458787,0.9721867,0.977839525230695,0.966598847066802,0.972186695315564,0.0062217712,12.0830459735946,0.993778228759766
"sorghum",1,12,"yes","SegFormer",0.9603489,0.97977346,0.974059923587372,0.985554425228891,0.979773462783172,0.0045776367,5,0.99542236328125
"sorghum",1,12,"yes","SegFormer",0.9602831,0.9797392,0.974854802430591,0.984672770430654,0.97973919057982,0.0045814514,6.40312423743285,0.995418548583984
"sorghum",1,13,"no","SegFormer",0.8776707,0.9348505,0.880005600672081,0.996986040609137,0.934850513163766,0.013366699,19.6977156035922,0.98663330078125
"sorghum",1,13,"no","SegFormer",0.9580154,0.9785576,0.966772872098316,0.990633137704536,0.978557579713205,0.004261017,6.70820393249937,0.995738983154297
"sorghum",1,13,"yes","SegFormer",0.9542685,0.97659916,0.967181246426529,0.986202339772241,0.976599184050497,0.004638672,6,0.995361328125
"sorghum",1,13,"yes","SegFormer",0.953537,0.97621596,0.960677328316087,0.992265536942749,0.97621596818599,0.0047454834,7.61577310586391,0.995254516601562
"sorghum",1,13,"yes","SegFormer",0.9546442,0.97679585,0.963303099017385,0.990672004353065,0.976795876525705,0.0046195984,10.770329614269,0.995380401611328
"sorghum",1,13,"yes","SegFormer",0.9578963,0.9784955,0.966910788145562,0.990361071164833,0.978495449483507,0.004272461,7,0.9957275390625
"sorghum",1,13,"yes","SegFormer",0.9578995,0.9784971,0.9668399286717,0.990438804461891,0.978497100948431,0.004272461,6.70820393249937,0.9957275390625
"sorghum",1,13,"yes","SegFormer",0.88235503,0.9375012,0.887766315714843,0.993139276649746,0.937501169864296,0.012737274,17.7200451466693,0.987262725830078
"sorghum",1,13,"yes","SegFormer",0.8922704,0.9430686,0.897966502887064,0.992940989847716,0.94306860769506,0.01153183,17.7200451466693,0.988468170166016
