crop,collectiondate,genotype,individual_id,augmented?,modelname,IoU,Dice,Precision,Recall,F1,MAE,Hausdorff,PixelAccuracy
wheat,1,16,1,yes,U-NET,0.8923687,0.9431235,0.9455996639361479,0.9406602590890096,0.9431234942914004,0.0020713806,6.708203932499369,0.9979286193847656
wheat,1,16,1,yes,U-NET,0.9108713,0.95335704,0.9543551088777219,0.9523610530714585,0.9533570382765112,0.001701355,4.47213595499958,0.9982986450195312
wheat,1,16,1,yes,U-NET,0.90557855,0.95045,0.94120057365294,0.9598829920601755,0.9504499844832937,0.00182724,4.47213595499958,0.9981727600097656
wheat,1,16,5,no,U-NET,0.9459023,0.97219914,0.9720378360438101,0.9723605577689243,0.9721991701244813,0.0025558472,3.0,0.9974441528320312
wheat,1,16,5,yes,U-NET,0.9454252,0.97194713,0.9704592470004137,0.9734395750332006,0.971947126341524,0.00258255,3.0,0.9974174499511719
wheat,1,16,5,yes,U-NET,0.94358605,0.97097427,0.9687680740312319,0.9731905710491368,0.9709742867790153,0.0026741028,2.23606797749979,0.9973258972167969
wheat,1,16,5,yes,U-NET,0.9378495,0.9679281,0.9615069615069615,0.9744355909694555,0.9679281061917718,0.0029678345,3.0,0.9970321655273438
wheat,1,16,5,yes,U-NET,0.9438066,0.97109103,0.9733177686984074,0.9688745019920318,0.9710910527848259,0.0026512146,3.0,0.9973487854003906
wheat,1,16,5,yes,U-NET,0.921842,0.9593317,0.9422830611591418,0.9770086321381142,0.9593317033414833,0.0038070679,7.0710678118654755,0.9961929321289062
wheat,1,17,1,no,U-NET,0.9195465,0.9580872,0.9509582863585119,0.9653238727397574,0.9580872330758746,0.0028152466,7.0710678118654755,0.9971847534179688
wheat,1,17,10,no,U-NET,0.8292651,0.9066648,0.9345917471466199,0.8803583735354927,0.9066647739371141,0.005016327,41.10960958218893,0.9949836730957031
wheat,1,17,10,yes,U-NET,0.81881624,0.9003837,0.9291684997800264,0.8733287388008271,0.9003836862299275,0.0053482056,44.27188724235731,0.9946517944335938
wheat,1,17,10,yes,U-NET,0.82009405,0.9011557,0.9402336728579987,0.865196416264645,0.9011556959299404,0.005252838,47.53945729601885,0.9947471618652344
wheat,1,17,10,yes,U-NET,0.830557,0.9074364,0.9370136543826163,0.8796691936595451,0.9074363713920091,0.004966736,45.221676218380054,0.9950332641601562
wheat,1,17,10,yes,U-NET,0.8106996,0.8954545,0.9236630036630037,0.8689179875947622,0.8954545454545455,0.0056152344,50.48762224545735,0.994384765625
wheat,1,17,10,yes,U-NET,0.0,0.0,0.0,0.0,0.0,0.027675629,inf,0.9723243713378906
wheat,1,17,1,yes,U-NET,0.92054284,0.95862776,0.9547105561861521,0.962577248798352,0.958627763847732,0.0027694702,6.708203932499369,0.9972305297851562
wheat,1,17,1,yes,U-NET,0.9125983,0.95430213,0.9399489399489399,0.9691004806591897,0.9543021355722094,0.0030937195,18.24828759089466,0.9969062805175781
wheat,1,17,1,yes,U-NET,0.92048794,0.958598,0.9501911400944457,0.967154955367361,0.9585980036297641,0.002784729,6.708203932499369,0.9972152709960938
wheat,1,17,1,yes,U-NET,0.9211748,0.9589703,0.9422354760326928,0.9763103685053788,0.9589703237410072,0.002784729,6.0,0.9972152709960938
wheat,1,17,1,yes,U-NET,0.9171954,0.9568095,0.9540334509045397,0.9596017395284963,0.9568094939236607,0.0028877258,6.708203932499369,0.9971122741699219
wheat,1,17,5,no,U-NET,0.9118575,0.9538969,0.9569750124110541,0.9508385399539625,0.9538969072164949,0.0021324158,4.0,0.9978675842285156
wheat,1,17,5,yes,U-NET,0.9141318,0.9551399,0.9616666666666667,0.9487010851693521,0.9551398775037245,0.002067566,3.605551275463989,0.9979324340820312
wheat,1,17,5,yes,U-NET,0.91698295,0.9566939,0.9599404072173481,0.9534692535350213,0.9566938876515714,0.002002716,3.0,0.9979972839355469
wheat,1,17,5,yes,U-NET,0.91421765,0.9551867,0.9643096514745308,0.9462347911871095,0.9551867219917013,0.0020599365,3.1622776601683795,0.9979400634765625
wheat,1,17,5,yes,U-NET,0.9175079,0.9569795,0.9575308641975309,0.9564288063137126,0.9569795179731841,0.0019950867,5.0,0.9980049133300781
wheat,1,17,5,yes,U-NET,0.92722416,0.962238,0.954685224146302,0.9699112134166392,0.9622379903759889,0.0017662048,5.0,0.9982337951660156
wheat,1,18,1,no,U-NET,0.9289838,0.96318465,0.9677613376638999,0.9586510962821735,0.9631846752469321,0.0023460388,8.0,0.9976539611816406
wheat,1,18,10,no,U-NET,0.9177774,0.9571261,0.9479183944269365,0.9665144596651446,0.957126109529392,0.001953125,3.605551275463989,0.998046875
wheat,1,18,10,yes,U-NET,0.91608053,0.95620257,0.943529799143892,0.9692203619144258,0.9562025527654959,0.002002716,2.8284271247461903,0.9979972839355469
wheat,1,18,10,yes,U-NET,0.917782,0.9571286,0.9407153356197943,0.974124809741248,0.9571286141575274,0.0019683838,2.8284271247461903,0.9980316162109375
wheat,1,18,10,yes,U-NET,0.9106656,0.9532443,0.9463333333333334,0.9602570607136817,0.9532443549064048,0.0021247864,3.605551275463989,0.9978752136230469
wheat,1,18,10,yes,U-NET,0.9211744,0.95897007,0.942222947608944,0.9763233553187891,0.9589700996677741,0.0018844604,2.8284271247461903,0.9981155395507812
wheat,1,18,10,yes,U-NET,0.8474713,0.9174392,0.9500090563303749,0.887028581092508,0.9174392163722231,0.0036010742,13.038404810405298,0.99639892578125
wheat,1,18,1,yes,U-NET,0.92976785,0.9636059,0.9681260524416646,0.9591277407054337,0.9636058900993655,0.002319336,9.219544457292887,0.9976806640625
wheat,1,18,1,yes,U-NET,0.93191487,0.9647577,0.96395431834404,0.965562440419447,0.9647577092511013,0.0022583008,8.54400374531753,0.99774169921875
wheat,1,18,1,yes,U-NET,0.9300195,0.963741,0.9599243409386452,0.9675881792183031,0.9637410242715566,0.00233078,5.656854249492381,0.9976692199707031
wheat,1,18,1,yes,U-NET,0.93166703,0.9646249,0.9609744560075686,0.9683031458531935,0.964624881291548,0.0022735596,8.94427190999916,0.9977264404296875
wheat,1,18,1,yes,U-NET,0.91900635,0.95779395,0.9679931848606548,0.9478074356530028,0.9577939671262569,0.0026741028,8.54400374531753,0.9973258972167969
wheat,1,18,5,no,U-NET,0.9216802,0.95924413,0.9608701794038707,0.9576235393495706,0.9592441122549711,0.002204895,6.082762530298219,0.9977951049804688
wheat,1,18,5,yes,U-NET,0.9158322,0.95606726,0.9593196314670447,0.9528368295086583,0.9560672411357536,0.0023727417,8.06225774829855,0.9976272583007812
wheat,1,18,5,yes,U-NET,0.9234186,0.96018475,0.9545075125208681,0.965929888779389,0.9601847316492897,0.0021705627,3.605551275463989,0.9978294372558594
wheat,1,18,5,yes,U-NET,0.91119224,0.95353276,0.9580727686185333,0.9490356187526398,0.9535327816677276,0.002506256,9.486832980505138,0.9974937438964844
wheat,1,18,5,yes,U-NET,0.91919464,0.95789623,0.9645967166309779,0.9512881880895396,0.957896229089878,0.0022659302,6.708203932499369,0.9977340698242188
wheat,1,18,5,yes,U-NET,0.9214731,0.9591319,0.9600789956270278,0.9581866816837956,0.9591319052987599,0.0022125244,6.708203932499369,0.9977874755859375
wheat,1,19,1,no,U-NET,0.89383477,0.94394165,0.934974578538935,0.9530823786142935,0.943941645278941,0.0031661987,5.385164807134504,0.9968338012695312
wheat,1,19,10,no,U-NET,0.87971437,0.9360086,0.9345661450924608,0.9374554102259215,0.9360085480232696,0.0020561218,7.280109889280518,0.9979438781738281
wheat,1,19,10,yes,U-NET,0.8830681,0.9379035,0.926054705609643,0.9500594530321046,0.93790350980162,0.0020179749,7.615773105863909,0.9979820251464844
wheat,1,19,10,yes,U-NET,0.8508735,0.9194291,0.890921258086103,0.949821640903686,0.9194290976058932,0.002670288,13.601470508735444,0.9973297119140625
wheat,1,19,10,yes,U-NET,0.88480395,0.93888164,0.9334743770568876,0.9443519619500594,0.9388816644993498,0.0019721985,4.242640687119285,0.9980278015136719
wheat,1,19,10,yes,U-NET,0.8778491,0.93495166,0.926652651249708,0.9434007134363852,0.9349516851284468,0.002105713,8.246211251235321,0.997894287109375
wheat,1,19,10,yes,U-NET,0.87123346,0.93118626,0.9078382651908742,0.9557669441141499,0.9311862835959221,0.0022659302,6.708203932499369,0.9977340698242188
wheat,1,19,1,yes,U-NET,0.87680596,0.9343597,0.94180407371484,0.9270321876704856,0.9343597498109836,0.003643036,25.942243542145693,0.9963569641113281
wheat,1,19,1,yes,U-NET,0.8852521,0.93913394,0.9234115475876615,0.9554009819967266,0.9391339321624883,0.0034637451,12.806248474865697,0.9965362548828125
