crop,modelname,metric,stat,value
wheat,SegFormer,IoU,var,0.001078649
wheat,SegFormer,IoU,cv,3.767428604
wheat,SegFormer,Precision,mean,0.935468007
wheat,SegFormer,Precision,max,0.990359844
wheat,SegFormer,Precision,min,0.830054554
wheat,SegFormer,Precision,var,0.000760074
wheat,SegFormer,Precision,cv,2.947128102
wheat,SegFormer,Recall,mean,0.928285355
wheat,SegFormer,Recall,max,0.99352293
wheat,SegFormer,Recall,min,0.807254127
wheat,SegFormer,Recall,var,0.001218071
wheat,SegFormer,Recall,cv,3.759714131
wheat,SegFormer,F1,mean,0.931150577
wheat,SegFormer,F1,max,0.966335738
wheat,SegFormer,F1,min,0.836555675
wheat,SegFormer,F1,var,0.0003633
wheat,SegFormer,F1,cv,2.046977353
wheat,SegNet,IoU,mean,0.885263821
wheat,SegNet,IoU,max,0.95429176
wheat,SegNet,IoU,min,0.73066765
wheat,SegNet,IoU,var,0.0015774
wheat,SegNet,IoU,cv,4.486402242
wheat,SegNet,Precision,mean,0.939591997
wheat,SegNet,Precision,max,0.990638367
wheat,SegNet,Precision,min,0.829971886
wheat,SegNet,Precision,var,0.000942857
wheat,SegNet,Precision,cv,3.268011729
wheat,SegNet,Recall,mean,0.939154807
wheat,SegNet,Recall,max,0.9961752
wheat,SegNet,Recall,min,0.807723337
wheat,SegNet,Recall,var,0.00133302
wheat,SegNet,Recall,cv,3.887595508
wheat,SegNet,F1,mean,0.938660951
wheat,SegNet,F1,max,0.976611355
wheat,SegNet,F1,min,0.844376604
wheat,SegNet,F1,var,0.000518901
wheat,SegNet,F1,cv,2.426797993
wheat,U-NET,IoU,mean,0.88640167
wheat,U-NET,IoU,max,0.95122653
wheat,U-NET,IoU,min,0.7207508
wheat,U-NET,IoU,var,0.001496966
wheat,U-NET,IoU,cv,4.364911228
wheat,U-NET,Precision,mean,0.943161893
wheat,U-NET,Precision,max,0.991790009
wheat,U-NET,Precision,min,0.829682058
wheat,U-NET,Precision,var,0.000786979
wheat,U-NET,Precision,cv,2.97437135
wheat,U-NET,Recall,mean,0.936901998
wheat,U-NET,Recall,max,0.994584263
wheat,U-NET,Recall,min,0.806647663
wheat,U-NET,Recall,var,0.001403532
wheat,U-NET,Recall,cv,3.998682493
wheat,U-NET,F1,mean,0.939326024
wheat,U-NET,F1,max,0.975003698
wheat,U-NET,F1,min,0.837716663
wheat,U-NET,F1,var,0.000491481
wheat,U-NET,F1,cv,2.360135148
