crop,collectiondate,genotype,augmented?,modelname,IoU,Precision,Recall,F1
sorghum,1,17,no,U-NET,0.94066703,0.9619652600226679,0.9770044170793736,0.9694265147289293
sorghum,1,17,no,U-NET,0.8629231,0.8648857418731896,0.9973771465333795,0.926418368402303
sorghum,1,18,no,U-NET,0.75763524,0.9943386078636737,0.7609175981284118,0.862107471990772
sorghum,1,18,no,U-NET,0.9179444,0.9208342898370118,0.9965927240461402,0.9572168814345129
sorghum,1,18,no,U-NET,0.8883213,0.9147816938453446,0.9684650191437522,0.9408582152639232
sorghum,1,19,no,U-NET,0.918354,0.9336196364444115,0.9825067206919391,0.9574395383271954
sorghum,1,19,no,U-NET,0.8987667,0.8992742778075847,0.9993723718069416,0.946684701021121
sorghum,1,19,no,U-NET,0.95037997,0.9942042755344418,0.9556746225036532,0.9745587755925679
sorghum,1,1,no,U-NET,0.84172153,0.8757111304464226,0.9559203156202816,0.9140594981661524
sorghum,1,1,no,U-NET,0.9104982,0.9407428819193525,0.9658941953354933,0.9531526474428594
sorghum,1,1,no,U-NET,0.75832367,0.9999489496388186,0.7583530140539704,0.8625529806792536
sorghum,1,20,no,U-NET,0.9265818,0.9340089830703674,0.9914910264560615,0.9618919976753288
sorghum,1,20,no,U-NET,0.8334833,0.9967355424653037,0.8357647490595468,0.9091801342460513
sorghum,1,20,no,U-NET,0.9310035,0.93424,0.9962927343798473,0.964269092765242
sorghum,1,21,no,U-NET,0.96469676,0.9852437193757612,0.9788395520288142,0.9820311948620227
sorghum,1,21,no,U-NET,0.9379972,0.9390930331350892,0.9987575535099114,0.9680067872683982
sorghum,1,21,no,U-NET,0.95506835,0.9580577175886318,0.996743590300241,0.9770178537228948
sorghum,1,22,no,U-NET,0.9537928,0.9582489400199843,0.9951480816692843,0.9763500034394992
sorghum,1,22,no,U-NET,0.9455627,0.9918374750589516,0.9529784934992506,0.9720197674832012
sorghum,1,22,no,U-NET,0.9505508,0.9908062234794908,0.9590094624521844,0.9746485789699835
sorghum,1,23,no,U-NET,0.90852946,0.9275281347274323,0.9779516956997392,0.9520727511060134
sorghum,1,23,no,U-NET,0.8120451,0.999043062200957,0.8126772310258549,0.8962747202207573
sorghum,1,23,no,U-NET,0.813057,0.97797845373891,0.8282200357781753,0.8968907400232468
sorghum,1,24,no,U-NET,0.93982273,0.9812700544735468,0.956990029837712,0.9689779677252965
sorghum,1,24,no,U-NET,0.9479875,0.9602835453220049,0.9866728653339532,0.9732993630573249
sorghum,1,24,no,U-NET,0.94570404,0.9804503270956945,0.9638797487286868,0.9720944264273323
sorghum,1,26,no,U-NET,0.8928238,0.9303456774109864,0.9567798305876075,0.9433776140996974
sorghum,1,26,no,U-NET,0.869619,0.918620995783088,0.9422045730473493,0.9302633386192516
sorghum,1,26,no,U-NET,0.90282995,0.9435397501029795,0.9543901558290048,0.9489339372514362
sorghum,1,27,no,U-NET,0.9055999,0.9112195929174252,0.9932359307359307,0.9504617243462501
sorghum,1,27,no,U-NET,0.9196696,0.9432943909271025,0.9734893887047874,0.9581540596807773
sorghum,1,27,no,U-NET,0.8217235,1.0,0.8217235290767215,0.9021385692846423
sorghum,1,28,no,U-NET,0.89641494,0.9149517428411901,0.9778985507246377,0.9453784975481107
sorghum,1,28,no,U-NET,0.90641767,0.9157768756013424,0.9888505980133793,0.9509119485361307
sorghum,1,28,no,U-NET,0.913253,0.9165477323184269,0.9960792761740629,0.9546599496221663
sorghum,1,29,no,U-NET,0.9086571,0.9325499543753143,0.972576666860883,0.9521428299806062
sorghum,1,29,no,U-NET,0.9158568,0.927167323276654,0.986855255725025,0.9560806188496553
sorghum,1,29,no,U-NET,0.8632598,0.8848416763457034,0.9725221831575422,0.9266123645354576
sorghum,1,2,no,U-NET,0.9279599,0.993179925031237,0.9339110001468645,0.9626340355746184
sorghum,1,2,no,U-NET,0.9482269,0.9791748698429366,0.9677433303065681,0.9734255393180237
sorghum,1,2,no,U-NET,0.9331079,0.9932625749884633,0.9390515248025828,0.9653966046960148
sorghum,1,30,no,U-NET,0.9589515,0.9819552089772241,0.9761533371147665,0.9790456775784009
sorghum,1,30,no,U-NET,0.9207312,0.9931548340198691,0.9266114674880606,0.9587298802684093
sorghum,1,30,no,U-NET,0.93067557,0.9449965103526206,0.9839775755268713,0.9640931746516123
sorghum,1,31,no,U-NET,0.9519304,0.9625672183811719,0.9885247077386502,0.9753732927605973
sorghum,1,31,no,U-NET,0.95514786,0.9723105926711441,0.9818549586531025,0.9770594677796525
sorghum,1,31,no,U-NET,0.9431301,0.9838323353293413,0.957977593602932,0.9707328395686945
sorghum,1,32,no,U-NET,0.9216454,0.965287661319503,0.9532385240239167,0.9592252558908838
sorghum,1,33,no,U-NET,0.8523922,1.0,0.8523921905170564,0.9203150335881399
sorghum,1,33,no,U-NET,0.826766,1.0,0.8267660008933699,0.9051690260154224
sorghum,1,33,no,U-NET,0.8510688,0.904805403310635,0.9347689315946007,0.9195431400680789
sorghum,1,34,no,U-NET,0.91923946,0.9980063133410866,0.9209305890920241,0.9579205453784361
sorghum,1,34,no,U-NET,0.9283229,0.9979054458408139,0.9301352670478316,0.9628293035005413
sorghum,1,34,no,U-NET,0.9506025,0.9719872502145397,0.977379191321499,0.9746757637224168
sorghum,1,35,no,U-NET,0.9623484,0.9836871387673527,0.9779555889697393,0.9808129906151961
sorghum,1,35,no,U-NET,0.8885868,0.9957586618876941,0.891962756849315,0.9410071130179519
sorghum,1,35,no,U-NET,0.9121765,0.9997089716115035,0.9124188056890349,0.9540714556242899
sorghum,1,36,no,U-NET,0.05471856,0.7253814147018031,0.05587606837606838,0.10375954766392223
sorghum,1,36,no,U-NET,0.9605924,0.9833014372021465,0.9765223224267721,0.9799001551894995
sorghum,1,36,no,U-NET,0.8354289,0.9457535979756445,0.8774761555392516,0.9103364286801644
sorghum,1,38,no,U-NET,0.93550795,0.996725758922307,0.9383917562092654,0.9666795200399211
sorghum,1,38,no,U-NET,0.9562112,0.9824076023215951,0.9728699484797045,0.9776155135264544
sorghum,1,38,no,U-NET,0.9579117,0.9861903580583808,0.9709354392249451,0.9785034460124713
sorghum,1,39,no,U-NET,0.8657265,0.8894977168949771,0.9700551092224952,0.9280315060661881
sorghum,1,39,no,U-NET,0.85337,0.8696487030974566,0.9785357560301775,0.9208846519224679
sorghum,1,39,no,U-NET,0.79766667,0.9943048916912438,0.8013277600196705,0.8874466733230462
sorghum,1,3,no,U-NET,0.94246995,0.9687571865041559,0.9720143718891123,0.9703830459391866
sorghum,1,3,no,U-NET,0.65222174,0.8747457018628585,0.7194081753165803,0.7895087397166568
sorghum,1,3,no,U-NET,0.9040628,0.9223160737275097,0.978578091684435,0.9496144706852238
sorghum,1,40,no,U-NET,0.92413086,0.9527807962066581,0.9684869378943317,0.9605696691039165
sorghum,1,40,no,U-NET,0.93478185,0.940702391118702,0.9933121677218162,0.9662917241568362
sorghum,1,41,no,U-NET,0.953922,0.975886945350331,0.9769489513256826,0.9764176595639492
sorghum,1,41,no,U-NET,0.9381097,0.9870553118908382,0.9497948417350528,0.9680666746325726
sorghum,1,41,no,U-NET,0.9303678,0.9938172802309889,0.9357841543780845,0.9639280387202825
sorghum,1,42,no,U-NET,0.9504676,0.9755643063075733,0.9736472734928767,0.9746048472075869
sorghum,1,42,no,U-NET,0.9635073,0.980762588016474,0.982067314088067,0.981414517415581
sorghum,1,42,no,U-NET,0.9602352,0.9824964502388022,0.9769477602361699,0.9797142489380872
sorghum,1,43,no,U-NET,0.93798083,0.9424563412539364,0.994962724158775,0.967998039696153
sorghum,1,43,no,U-NET,0.924071,0.924532489872926,0.9994601079784043,0.9605373151537863
sorghum,1,43,no,U-NET,0.9476245,0.9561818181818181,0.9906442295617229,0.9731079997532844
sorghum,1,44,no,U-NET,0.8391816,0.9395679697187235,0.8870609981515711,0.9125598199854213
sorghum,1,44,no,U-NET,0.8678295,0.9279095220722364,0.9305712069545874,0.9292384585032224
sorghum,1,45,no,U-NET,0.87478286,0.9986650902017621,0.8758069371508848,0.9332097797419631
sorghum,1,45,no,U-NET,0.9147518,0.9197008238733437,0.9941518067839041,0.9554782025618522
