"crop","modelname","metric","stat","value"
"wheat","DeepLabV3Plus","F1","mean",0.908769059199543
"wheat","DeepLabV3Plus","F1","max",0.967111751763903
"wheat","DeepLabV3Plus","F1","min",0
"wheat","DeepLabV3Plus","F1","var",0.00763867444386951
"wheat","DeepLabV3Plus","F1","cv",9.61735103790448
"wheat","DeepLabV3Plus","MAE","mean",0.00513111900675676
"wheat","DeepLabV3Plus","MAE","max",0.053821564
"wheat","DeepLabV3Plus","MAE","min",0.0011138916
"wheat","DeepLabV3Plus","MAE","var",2.34442519766072e-05
"wheat","DeepLabV3Plus","MAE","cv",94.3639480454991
"wheat","DeepLabV3Plus","Hausdorff","mean",Inf
"wheat","DeepLabV3Plus","Hausdorff","max",Inf
"wheat","DeepLabV3Plus","Hausdorff","min",2
"wheat","DeepLabV3Plus","Hausdorff","var",NA
"wheat","DeepLabV3Plus","Hausdorff","cv",NA
"wheat","DeepLabV3Plus","PixelAccuracy","mean",0.994868880993611
"wheat","DeepLabV3Plus","PixelAccuracy","max",0.998886108398438
"wheat","DeepLabV3Plus","PixelAccuracy","min",0.946178436279297
"wheat","DeepLabV3Plus","PixelAccuracy","var",2.34442519221247e-05
"wheat","DeepLabV3Plus","PixelAccuracy","cv",0.486689910657045
"wheat","SegFormer","IoU","mean",0.842004461360876
"wheat","SegFormer","IoU","max",0.9348642
"wheat","SegFormer","IoU","min",0
"wheat","SegFormer","IoU","var",0.0105177192338144
"wheat","SegFormer","IoU","cv",12.1799749202889
"wheat","SegFormer","Dice","mean",0.909543920820158
"wheat","SegFormer","Dice","max",0.9663357
"wheat","SegFormer","Dice","min",0
"wheat","SegFormer","Dice","var",0.0074616279543379
"wheat","SegFormer","Dice","cv",9.49714611892827
"wheat","SegFormer","Precision","mean",0.918557873390242
"wheat","SegFormer","Precision","max",1
"wheat","SegFormer","Precision","min",0
"wheat","SegFormer","Precision","var",0.00770477543070139
"wheat","SegFormer","Precision","cv",9.55594119226698
"wheat","SegFormer","Recall","mean",0.908299885543329
"wheat","SegFormer","Recall","max",0.998747847863515
"wheat","SegFormer","Recall","min",0
"wheat","SegFormer","Recall","var",0.0105139455325491
"wheat","SegFormer","Recall","cv",11.2889513632656
"wheat","SegFormer","F1","mean",0.909543921109616
"wheat","SegFormer","F1","max",0.966335738371983
"wheat","SegFormer","F1","min",0
"wheat","SegFormer","F1","var",0.00746162792160587
"wheat","SegFormer","F1","cv",9.49714609507521
"wheat","SegFormer","MAE","mean",0.00510770136081081
"wheat","SegFormer","MAE","max",0.08603668
"wheat","SegFormer","MAE","min",0.0010261536
"wheat","SegFormer","MAE","var",2.33545797160874e-05
"wheat","SegFormer","MAE","cv",94.6151171175629
"wheat","SegFormer","Hausdorff","mean",Inf
"wheat","SegFormer","Hausdorff","max",Inf
"wheat","SegFormer","Hausdorff","min",2.23606797749979
"wheat","SegFormer","Hausdorff","var",NA
"wheat","SegFormer","Hausdorff","cv",NA
"wheat","SegFormer","PixelAccuracy","mean",0.994892298638284
"wheat","SegFormer","PixelAccuracy","max",0.998973846435547
"wheat","SegFormer","PixelAccuracy","min",0.913963317871094
"wheat","SegFormer","PixelAccuracy","var",2.33545798213856e-05
"wheat","SegFormer","PixelAccuracy","cv",0.485746813203342
"wheat","SegNet","IoU","mean",0.846232192511163
"wheat","SegNet","IoU","max",0.95429176
"wheat","SegNet","IoU","min",0
"wheat","SegNet","IoU","var",0.016760300716013
"wheat","SegNet","IoU","cv",15.2985884042946
"wheat","SegNet","Dice","mean",0.908997319267511
"wheat","SegNet","Dice","max",0.9766114
"wheat","SegNet","Dice","min",0
"wheat","SegNet","Dice","var",0.01268666844181
"wheat","SegNet","Dice","cv",12.3911379662913
"wheat","SegNet","Precision","mean",0.924133293422543
"wheat","SegNet","Precision","max",1
"wheat","SegNet","Precision","min",0
"wheat","SegNet","Precision","var",0.00713669967944593
"wheat","SegNet","Precision","cv",9.14142907471086
"wheat","SegNet","Recall","mean",0.907790131463932
"wheat","SegNet","Recall","max",0.998520240989325
"wheat","SegNet","Recall","min",0
"wheat","SegNet","Recall","var",0.0176403711858509
"wheat","SegNet","Recall","cv",14.6308110750033
"wheat","SegNet","F1","mean",0.908997319519417
"wheat","SegNet","F1","max",0.976611354571865
"wheat","SegNet","F1","min",0
"wheat","SegNet","F1","var",0.0126866684531005
"wheat","SegNet","F1","cv",12.3911379683712
"wheat","SegNet","MAE","mean",0.00491431274780405
"wheat","SegNet","MAE","max",0.052021027
"wheat","SegNet","MAE","min",0.00077819824
"wheat","SegNet","MAE","var",2.48843256173513e-05
"wheat","SegNet","MAE","cv",101.507970821674
"wheat","SegNet","Hausdorff","mean",Inf
"wheat","SegNet","Hausdorff","max",Inf
"wheat","SegNet","Hausdorff","min",2
"wheat","SegNet","Hausdorff","var",NA
"wheat","SegNet","Hausdorff","cv",NA
"wheat","SegNet","PixelAccuracy","mean",0.995085687250704
"wheat","SegNet","PixelAccuracy","max",0.999221801757812
"wheat","SegNet","PixelAccuracy","min",0.947978973388672
"wheat","SegNet","PixelAccuracy","var",2.48843256909411e-05
"wheat","SegNet","PixelAccuracy","cv",0.501305487699777
"wheat","U-NET","IoU","mean",0.839038467137134
"wheat","U-NET","IoU","max",0.95122653
"wheat","U-NET","IoU","min",0
"wheat","U-NET","IoU","var",0.0201422500177164
"wheat","U-NET","IoU","cv",16.9150045499601
"wheat","U-NET","Dice","mean",0.903117858218468
"wheat","U-NET","Dice","max",0.9750037
"wheat","U-NET","Dice","min",0
"wheat","U-NET","Dice","var",0.0153943473082215
"wheat","U-NET","Dice","cv",13.7384016821562
"wheat","U-NET","Precision","mean",0.925624348592596
"wheat","U-NET","Precision","max",1
"wheat","U-NET","Precision","min",0
"wheat","U-NET","Precision","var",0.0102033442629172
"wheat","U-NET","Precision","cv",10.9128076361525
"wheat","U-NET","Recall","mean",0.895899154737206
"wheat","U-NET","Recall","max",0.997674664411796
"wheat","U-NET","Recall","min",0
"wheat","U-NET","Recall","var",0.021719305448107
"wheat","U-NET","Recall","cv",16.4499218734967
"wheat","U-NET","F1","mean",0.90311785865365
"wheat","U-NET","F1","max",0.975003697677858
"wheat","U-NET","F1","min",0
"wheat","U-NET","F1","var",0.015394347340223
"wheat","U-NET","F1","cv",13.7384016898157
"wheat","U-NET","MAE","mean",0.00506668048309966
"wheat","U-NET","MAE","max",0.05873108
"wheat","U-NET","MAE","min",0.0008049011
"wheat","U-NET","MAE","var",2.81230035631269e-05
"wheat","U-NET","MAE","cv",104.666411220802
"wheat","U-NET","Hausdorff","mean",Inf
"wheat","U-NET","Hausdorff","max",Inf
"wheat","U-NET","Hausdorff","min",2
"wheat","U-NET","Hausdorff","var",NA
"wheat","U-NET","Hausdorff","cv",NA
"wheat","U-NET","PixelAccuracy","mean",0.99493331952138
"wheat","U-NET","PixelAccuracy","max",0.999195098876953
"wheat","U-NET","PixelAccuracy","min",0.941268920898438
"wheat","U-NET","PixelAccuracy","var",2.81230035044279e-05
"wheat","U-NET","PixelAccuracy","cv",0.533011863217319
